21	21	21	6	21	21	21	21	21	21	21	21	6	21	21	21
21	4	58	25	60	59	58	59	58	59	58	60	25	59	5	21
21	77	7	7	7	7	7	7	7	7	7	7	7	7	78	21
42	43	7	7	7	7	7	7	7	7	7	7	7	7	61	62
21	115	7	7	7	7	7	7	7	7	7	7	7	7	116	21
21	115	7	7	7	7	7	7	7	7	7	7	7	7	116	21
21	96	7	7	7	7	7	7	7	7	7	7	7	47	97	21
181	182	7	7	7	7	7	187	7	7	64	66	48	47	172	173
200	201	7	7	7	7	7	206	7	7	65	67	49	47	191	192
21	96	7	7	7	7	7	7	7	7	7	7	7	47	97	21
21	115	7	7	7	7	7	7	7	7	7	7	7	7	116	21
21	77	7	7	7	7	7	7	7	7	7	7	7	7	78	21
42	43	7	7	7	7	7	7	7	7	7	7	7	7	61	62
21	77	7	7	7	7	7	7	7	7	7	7	7	7	78	21
21	23	79	44	81	79	80	79	80	80	81	79	44	81	24	21
21	21	21	63	21	21	21	21	21	21	21	21	63	21	21	21
